date,smp_mn,pspp_mn,pepp_mn,total_sovereign_mn,any_active
2016-08-01,0.0,50513.0,0.0,50513.0,1
2016-09-01,0.0,69972.0,0.0,69972.0,1
2016-10-01,0.0,72974.0,0.0,72974.0,1
2016-11-01,0.0,70145.0,0.0,70145.0,1
2016-12-01,0.0,55032.0,0.0,55032.0,1
2017-01-01,0.0,71362.0,0.0,71362.0,1
2017-02-01,0.0,68208.0,0.0,68208.0,1
2017-03-01,0.0,68814.0,0.0,68814.0,1
2017-04-01,0.0,54311.0,0.0,54311.0,1
2017-05-01,0.0,51490.0,0.0,51490.0,1
2017-06-01,0.0,51607.0,0.0,51607.0,1
2017-07-01,0.0,51811.0,0.0,51811.0,1
2017-08-01,0.0,42839.0,0.0,42839.0,1
2017-09-01,0.0,50795.0,0.0,50795.0,1
2017-10-01,0.0,50174.0,0.0,50174.0,1
2017-11-01,0.0,50747.0,0.0,50747.0,1
2017-12-01,0.0,46184.0,0.0,46184.0,1
2018-01-01,0.0,20905.0,0.0,20905.0,1
2018-02-01,0.0,21801.0,0.0,21801.0,1
2018-03-01,0.0,20774.0,0.0,20774.0,1
2018-04-01,0.0,23631.0,0.0,23631.0,1
2018-05-01,0.0,24230.0,0.0,24230.0,1
2018-06-01,0.0,24973.0,0.0,24973.0,1
2018-07-01,0.0,24957.0,0.0,24957.0,1
2018-08-01,0.0,22619.0,0.0,22619.0,1
2018-09-01,0.0,23211.0,0.0,23211.0,1
2018-10-01,0.0,9918.0,0.0,9918.0,1
2018-11-01,0.0,10122.0,0.0,10122.0,1
2018-12-01,0.0,12961.0,0.0,12961.0,1
2019-01-01,0.0,-1222.0,0.0,-1222.0,0
2019-02-01,0.0,1183.0,0.0,1183.0,1
2019-03-01,0.0,77.0,0.0,77.0,1
2019-04-01,0.0,-862.0,0.0,-862.0,0
2019-05-01,0.0,-370.0,0.0,-370.0,0
2019-06-01,0.0,1118.0,0.0,1118.0,1
2019-07-01,0.0,-851.0,0.0,-851.0,0
2019-08-01,0.0,843.0,0.0,843.0,1
2019-09-01,0.0,602.0,0.0,602.0,1
2019-10-01,0.0,-698.0,0.0,-698.0,0
2019-11-01,0.0,14478.0,0.0,14478.0,1
2019-12-01,0.0,12515.0,0.0,12515.0,1
2020-01-01,0.0,12427.0,0.0,12427.0,1
2020-02-01,0.0,14137.0,0.0,14137.0,1
2020-03-01,0.0,37323.0,15444.0,52767.0,1
2020-04-01,0.0,29624.0,103366.0,132990.0,1
2020-05-01,0.0,28961.0,115855.0,144816.0,1
2020-06-01,0.0,29779.0,120321.0,150100.0,1
2020-07-01,0.0,16370.0,85423.0,101793.0,1
2020-08-01,0.0,15150.0,59466.0,74616.0,1
2020-09-01,0.0,23102.0,67308.0,90410.0,1
2020-10-01,0.0,19182.0,61985.0,81167.0,1
2020-11-01,0.0,21241.0,70835.0,92076.0,1
2020-12-01,0.0,17822.0,57163.0,74985.0,1
2021-01-01,0.0,13655.0,53046.0,66701.0,1
2021-02-01,0.0,15129.0,59914.0,75043.0,1
2021-03-01,0.0,14955.0,73521.0,88476.0,1
2021-04-01,0.0,14186.0,80118.0,94304.0,1
2021-05-01,0.0,13973.0,80700.0,94673.0,1
2021-06-01,0.0,13320.0,80168.0,93488.0,1
2021-07-01,0.0,13943.0,87557.0,101500.0,1
2021-08-01,0.0,13563.0,65050.0,78613.0,1
2021-09-01,0.0,12423.0,75051.0,87474.0,1
2021-10-01,0.0,15038.0,67855.0,82893.0,1
2021-11-01,0.0,14815.0,68045.0,82860.0,1
2021-12-01,0.0,12989.0,49375.0,62364.0,1
2022-01-01,0.0,17292.0,50113.0,67405.0,1
2022-02-01,0.0,12095.0,40184.0,52279.0,1
2022-03-01,0.0,14172.0,30214.0,44386.0,1
2022-04-01,0.0,33238.0,-4.0,33234.0,1
2022-05-01,0.0,22443.0,-10.0,22433.0,1
2022-06-01,0.0,13924.0,12.0,13936.0,1
2022-07-01,0.0,-1114.0,-722.0,-1836.0,0
2022-08-01,0.0,869.0,-2813.0,-1944.0,0
2022-09-01,0.0,-315.0,-1505.0,-1820.0,0
2022-10-01,0.0,-2938.0,-146.0,-3084.0,0
2022-11-01,0.0,540.0,-136.0,404.0,1
2022-12-01,0.0,1398.0,1118.0,2516.0,1
2023-01-01,0.0,132.0,-226.0,-94.0,0
2023-02-01,0.0,137.0,-19.0,118.0,1
2023-03-01,0.0,-10104.0,-108.0,-10212.0,0
2023-04-01,0.0,-12037.0,-97.0,-12134.0,0
2023-05-01,0.0,-14195.0,-393.0,-14588.0,0
2023-06-01,0.0,-10469.0,-66.0,-10535.0,0
2023-07-01,0.0,-26424.0,-210.0,-26634.0,0
2023-08-01,0.0,-16598.0,-236.0,-16834.0,0
2023-09-01,0.0,-13434.0,-81.0,-13515.0,0
2023-10-01,0.0,-44243.0,-677.0,-44920.0,0
2023-11-01,0.0,-13379.0,814.0,-12565.0,0
2023-12-01,0.0,-6776.0,1281.0,-5495.0,0
2024-01-01,0.0,-25539.0,-103.0,-25642.0,0
2024-02-01,0.0,-20524.0,62.0,-20462.0,0
2024-03-01,0.0,-22455.0,-105.0,-22560.0,0
2024-04-01,0.0,-28712.0,36.0,-28676.0,0
2024-05-01,0.0,-30194.0,-48.0,-30242.0,0
2024-06-01,0.0,-15018.0,16.0,-15002.0,0
2024-07-01,0.0,-26740.0,-7501.0,-34241.0,0
2024-08-01,0.0,-10562.0,-7482.0,-18044.0,0
2024-09-01,0.0,-17504.0,-4513.0,-22017.0,0
2024-10-01,0.0,-30973.0,-10518.0,-41491.0,0
2024-11-01,0.0,-22091.0,-7487.0,-29578.0,0
2024-12-01,0.0,-15821.0,-7540.0,-23361.0,0
2025-01-01,0.0,-13814.0,-12601.0,-26415.0,0
2025-02-01,0.0,-24478.0,-20606.0,-45084.0,0
2025-03-01,0.0,-34007.0,-24463.0,-58470.0,0
2025-04-01,0.0,-27081.0,-17750.0,-44831.0,0
2025-05-01,0.0,-19641.0,-14344.0,-33985.0,0
2025-06-01,0.0,-18184.0,-15872.0,-34056.0,0
2025-07-01,0.0,-26222.0,-15327.0,-41549.0,0
2025-08-01,0.0,-13114.0,-9074.0,-22188.0,0
2025-09-01,0.0,-12568.0,-8538.0,-21106.0,0
2025-10-01,0.0,-37073.0,-17779.0,-54852.0,0
2025-11-01,0.0,-20060.0,-13077.0,-33137.0,0
2025-12-01,0.0,-8274.0,-5870.0,-14144.0,0
2026-01-01,0.0,-8361.0,-6925.0,-15286.0,0
2026-02-01,0.0,-34614.0,-24086.0,-58700.0,0
2026-03-01,0.0,-25120.0,-16753.0,-41873.0,0
2026-04-01,0.0,-42419.0,0.0,-42419.0,0
2026-05-01,0.0,-21135.0,0.0,-21135.0,0
2026-06-01,0.0,0.0,0.0,0.0,0
2026-07-01,0.0,0.0,0.0,0.0,0
2026-08-01,0.0,0.0,0.0,0.0,0
2026-09-01,0.0,0.0,0.0,0.0,0
2026-10-01,0.0,0.0,0.0,0.0,0
2026-11-01,0.0,0.0,0.0,0.0,0
2026-12-01,0.0,0.0,0.0,0.0,0
