vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1994-Oct,1994,Oct,1995,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,0.0
1994-Oct,1994,Oct,1995,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.3518462635905117
1994-Oct,1994,Oct,1995,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.7875739028861403
1995-Apr,1995,Apr,1996,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.5178781774378854
1995-Apr,1995,Apr,1996,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,6.2761153995881696
1995-Apr,1995,Apr,1996,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.2944687663081214
1995-Apr,1995,Apr,1996,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.6408449863986247
1995-Apr,1995,Apr,1996,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.4019641874317401
1995-Apr,1995,Apr,1996,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.6521525213518697
1995-Apr,1995,Apr,1996,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.198518136262217
1995-Apr,1995,Apr,1996,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,7.010375273995346
1995-Apr,1995,Apr,1996,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.4750303261091946
1995-Apr,1995,Apr,1996,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,0.0
1995-Apr,1995,Apr,1996,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.314120446423051
1995-Apr,1995,Apr,1996,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.7707808762509774
1995-Oct,1995,Oct,1996,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.0689436482564425
1995-Oct,1995,Oct,1996,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,6.113906389802663
